"item","domain","wasserstein","alignment","comparison"
"Extraversion_1","Extraversion",0.58,0.855,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion_2","Extraversion",0.15,0.9625,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion_3","Extraversion",0.3,0.925,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion_4","Extraversion",0.17,0.9575,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion_5","Extraversion",0.39,0.9025,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion_6","Extraversion",0.29,0.9275,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion_7","Extraversion",0.32,0.92,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion_8","Extraversion",0.3,0.925,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion_9","Extraversion",0.41,0.8975,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion_10","Extraversion",0.47,0.8825,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion_11","Extraversion",0.3,0.925,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion_12","Extraversion",0.33,0.9175,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness_1","Agreeableness",0.0900000000000001,0.9775,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness_2","Agreeableness",0.31,0.9225,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness_3","Agreeableness",0.16,0.96,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness_4","Agreeableness",0.41,0.8975,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness_5","Agreeableness",0.26,0.935,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness_6","Agreeableness",0.26,0.935,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness_7","Agreeableness",0.33,0.9175,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness_8","Agreeableness",0.3,0.925,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness_9","Agreeableness",0.48,0.88,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness_10","Agreeableness",0.29,0.9275,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness_11","Agreeableness",0.28,0.93,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness_12","Agreeableness",0.33,0.9175,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness_1","Conscientiousness",0.27,0.9325,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness_2","Conscientiousness",0.15,0.9625,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness_3","Conscientiousness",0.33,0.9175,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness_4","Conscientiousness",0.26,0.935,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness_5","Conscientiousness",0.42,0.895,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness_6","Conscientiousness",0.67,0.8325,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness_7","Conscientiousness",0.31,0.9225,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness_8","Conscientiousness",0.29,0.9275,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness_9","Conscientiousness",0.31,0.9225,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness_10","Conscientiousness",0.3,0.925,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness_11","Conscientiousness",0.31,0.9225,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness_12","Conscientiousness",0.29,0.9275,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality_1","Negative_Emotionality",0.23,0.9425,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality_2","Negative_Emotionality",0.37,0.9075,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality_3","Negative_Emotionality",0.24,0.94,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality_4","Negative_Emotionality",0.32,0.92,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality_5","Negative_Emotionality",0.23,0.9425,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality_6","Negative_Emotionality",0.58,0.855,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality_7","Negative_Emotionality",0.41,0.8975,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality_8","Negative_Emotionality",0.36,0.91,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality_9","Negative_Emotionality",0.34,0.915,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality_10","Negative_Emotionality",0.35,0.9125,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality_11","Negative_Emotionality",0.29,0.9275,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality_12","Negative_Emotionality",0.36,0.91,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness_1","Open_Mindedness",0.3,0.925,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness_2","Open_Mindedness",0.25,0.9375,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness_3","Open_Mindedness",0.28,0.93,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness_4","Open_Mindedness",0.19,0.9525,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness_5","Open_Mindedness",0.22,0.945,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness_6","Open_Mindedness",0.33,0.9175,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness_7","Open_Mindedness",0.48,0.88,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness_8","Open_Mindedness",0.32,0.92,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness_9","Open_Mindedness",0.29,0.9275,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness_10","Open_Mindedness",0.3,0.925,"llm_src_es_Mistral_vs_llm_tgt_cn_Mistral"
