"item","domain","wasserstein","alignment","comparison"
"Extraversion_1","Extraversion",0.58,0.855,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Extraversion_2","Extraversion",0.27,0.9325,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Extraversion_3","Extraversion",0.29,0.9275,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Extraversion_4","Extraversion",0.18,0.955,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Extraversion_5","Extraversion",0.02,0.995,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Extraversion_6","Extraversion",0.15,0.9625,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Extraversion_7","Extraversion",0.45,0.8875,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Extraversion_8","Extraversion",0.19,0.9525,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Extraversion_9","Extraversion",0.28,0.93,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Extraversion_10","Extraversion",0.21,0.9475,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Extraversion_11","Extraversion",0.1,0.975,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Extraversion_12","Extraversion",0.14,0.965,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Agreeableness_1","Agreeableness",0.25,0.9375,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Agreeableness_2","Agreeableness",0.56,0.86,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Agreeableness_3","Agreeableness",0.22,0.945,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Agreeableness_4","Agreeableness",0.12,0.97,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Agreeableness_5","Agreeableness",0.08,0.98,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Agreeableness_6","Agreeableness",0.0700000000000001,0.9825,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Agreeableness_7","Agreeableness",0.64,0.84,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Agreeableness_8","Agreeableness",0.16,0.96,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Agreeableness_9","Agreeableness",0.22,0.945,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Agreeableness_10","Agreeableness",0.18,0.955,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Agreeableness_11","Agreeableness",0.14,0.965,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Agreeableness_12","Agreeableness",0.0999999999999999,0.975,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Conscientiousness_1","Conscientiousness",0.14,0.965,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Conscientiousness_2","Conscientiousness",0.27,0.9325,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Conscientiousness_3","Conscientiousness",0.39,0.9025,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Conscientiousness_4","Conscientiousness",0.1,0.975,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Conscientiousness_5","Conscientiousness",0.41,0.8975,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Conscientiousness_6","Conscientiousness",0.44,0.89,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Conscientiousness_7","Conscientiousness",0.41,0.8975,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Conscientiousness_8","Conscientiousness",0.2,0.95,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Conscientiousness_9","Conscientiousness",0.0900000000000001,0.9775,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Conscientiousness_10","Conscientiousness",0.17,0.9575,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Conscientiousness_11","Conscientiousness",0.26,0.935,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
