"item","domain","wasserstein","alignment","comparison"
"Extraversion_1","Extraversion",0.342,0.9145,"human_src_vs_llm_tgt"
"Extraversion_2","Extraversion",0.34,0.915,"human_src_vs_llm_tgt"
"Extraversion_3","Extraversion",0.332,0.917,"human_src_vs_llm_tgt"
"Extraversion_4","Extraversion",0.33,0.9175,"human_src_vs_llm_tgt"
"Extraversion_5","Extraversion",0.344,0.914,"human_src_vs_llm_tgt"
"Extraversion_6","Extraversion",0.306,0.9235,"human_src_vs_llm_tgt"
"Extraversion_7","Extraversion",0.274,0.9315,"human_src_vs_llm_tgt"
"Extraversion_8","Extraversion",0.326,0.9185,"human_src_vs_llm_tgt"
"Extraversion_9","Extraversion",0.31,0.9225,"human_src_vs_llm_tgt"
"Extraversion_10","Extraversion",0.314,0.9215,"human_src_vs_llm_tgt"
"Extraversion_11","Extraversion",0.248,0.938,"human_src_vs_llm_tgt"
"Extraversion_12","Extraversion",0.37,0.9075,"human_src_vs_llm_tgt"
"Agreeableness_1","Agreeableness",0.37,0.9075,"human_src_vs_llm_tgt"
"Agreeableness_2","Agreeableness",0.27,0.9325,"human_src_vs_llm_tgt"
"Agreeableness_3","Agreeableness",0.142,0.9645,"human_src_vs_llm_tgt"
"Agreeableness_4","Agreeableness",0.17,0.9575,"human_src_vs_llm_tgt"
"Agreeableness_5","Agreeableness",0.31,0.9225,"human_src_vs_llm_tgt"
"Agreeableness_6","Agreeableness",0.36,0.91,"human_src_vs_llm_tgt"
"Agreeableness_7","Agreeableness",0.2,0.95,"human_src_vs_llm_tgt"
"Agreeableness_8","Agreeableness",0.29,0.9275,"human_src_vs_llm_tgt"
"Agreeableness_9","Agreeableness",0.25,0.9375,"human_src_vs_llm_tgt"
"Agreeableness_10","Agreeableness",0.232,0.942,"human_src_vs_llm_tgt"
"Agreeableness_11","Agreeableness",0.248,0.938,"human_src_vs_llm_tgt"
"Agreeableness_12","Agreeableness",0.262,0.9345,"human_src_vs_llm_tgt"
"Conscientiousness_1","Conscientiousness",0.218,0.9455,"human_src_vs_llm_tgt"
"Conscientiousness_2","Conscientiousness",0.358,0.9105,"human_src_vs_llm_tgt"
"Conscientiousness_3","Conscientiousness",0.22,0.945,"human_src_vs_llm_tgt"
"Conscientiousness_4","Conscientiousness",0.338,0.9155,"human_src_vs_llm_tgt"
"Conscientiousness_5","Conscientiousness",0.254,0.9365,"human_src_vs_llm_tgt"
"Conscientiousness_6","Conscientiousness",0.334,0.9165,"human_src_vs_llm_tgt"
"Conscientiousness_7","Conscientiousness",0.384,0.904,"human_src_vs_llm_tgt"
"Conscientiousness_8","Conscientiousness",0.302,0.9245,"human_src_vs_llm_tgt"
"Conscientiousness_9","Conscientiousness",0.248,0.938,"human_src_vs_llm_tgt"
"Conscientiousness_10","Conscientiousness",0.388,0.903,"human_src_vs_llm_tgt"
"Conscientiousness_11","Conscientiousness",0.376,0.906,"human_src_vs_llm_tgt"
"Conscientiousness_12","Conscientiousness",0.326,0.9185,"human_src_vs_llm_tgt"
"Neuroticism_1","Neuroticism",0.292,0.927,"human_src_vs_llm_tgt"
"Neuroticism_2","Neuroticism",0.272,0.932,"human_src_vs_llm_tgt"
"Neuroticism_3","Neuroticism",0.266,0.9335,"human_src_vs_llm_tgt"
"Neuroticism_4","Neuroticism",0.24,0.94,"human_src_vs_llm_tgt"
"Neuroticism_5","Neuroticism",0.184,0.954,"human_src_vs_llm_tgt"
"Neuroticism_6","Neuroticism",0.34,0.915,"human_src_vs_llm_tgt"
"Neuroticism_7","Neuroticism",0.266,0.9335,"human_src_vs_llm_tgt"
"Neuroticism_8","Neuroticism",0.206,0.9485,"human_src_vs_llm_tgt"
"Neuroticism_9","Neuroticism",0.268,0.933,"human_src_vs_llm_tgt"
"Neuroticism_10","Neuroticism",0.306,0.9235,"human_src_vs_llm_tgt"
"Neuroticism_11","Neuroticism",0.24,0.94,"human_src_vs_llm_tgt"
"Neuroticism_12","Neuroticism",0.268,0.933,"human_src_vs_llm_tgt"
"Openness_1","Openness",0.37,0.9075,"human_src_vs_llm_tgt"
"Openness_2","Openness",0.35,0.9125,"human_src_vs_llm_tgt"
"Openness_3","Openness",0.266,0.9335,"human_src_vs_llm_tgt"
"Openness_4","Openness",0.346,0.9135,"human_src_vs_llm_tgt"
"Openness_5","Openness",0.25,0.9375,"human_src_vs_llm_tgt"
"Openness_6","Openness",0.246,0.9385,"human_src_vs_llm_tgt"
"Openness_7","Openness",0.276,0.931,"human_src_vs_llm_tgt"
"Openness_8","Openness",0.332,0.917,"human_src_vs_llm_tgt"
"Openness_9","Openness",0.246,0.9385,"human_src_vs_llm_tgt"
"Openness_10","Openness",0.194,0.9515,"human_src_vs_llm_tgt"
"Openness_11","Openness",0.34,0.915,"human_src_vs_llm_tgt"
"Openness_12","Openness",0.28,0.93,"human_src_vs_llm_tgt"
