"item","domain","wasserstein","alignment","comparison"
"Extraversion_1","Extraversion",0.06,0.985,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion_2","Extraversion",0.0599999999999999,0.985,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion_3","Extraversion",0.14,0.965,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion_4","Extraversion",0.02,0.995,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion_5","Extraversion",0.11,0.9725,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion_6","Extraversion",0.05,0.9875,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion_7","Extraversion",0.14,0.965,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion_8","Extraversion",0.16,0.96,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion_9","Extraversion",0.26,0.935,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion_10","Extraversion",0.07,0.9825,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion_11","Extraversion",0.27,0.9325,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Extraversion_12","Extraversion",0.01,0.9975,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness_1","Agreeableness",0.08,0.98,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness_2","Agreeableness",0.45,0.8875,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness_3","Agreeableness",0.05,0.9875,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness_4","Agreeableness",0.08,0.98,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness_5","Agreeableness",0.08,0.98,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness_6","Agreeableness",0.11,0.9725,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness_7","Agreeableness",0.05,0.9875,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness_8","Agreeableness",0.13,0.9675,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness_9","Agreeableness",0.0299999999999999,0.9925,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness_10","Agreeableness",0.12,0.97,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness_11","Agreeableness",0.09,0.9775,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Agreeableness_12","Agreeableness",0.0799999999999999,0.98,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness_1","Conscientiousness",0,1,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness_2","Conscientiousness",0.07,0.9825,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness_3","Conscientiousness",0.0399999999999999,0.99,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness_4","Conscientiousness",0.0399999999999999,0.99,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness_5","Conscientiousness",0.03,0.9925,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness_6","Conscientiousness",0.45,0.8875,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness_7","Conscientiousness",0.12,0.97,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness_8","Conscientiousness",0.22,0.945,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness_9","Conscientiousness",0.0700000000000001,0.9825,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness_10","Conscientiousness",0.05,0.9875,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness_11","Conscientiousness",0.1,0.975,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Conscientiousness_12","Conscientiousness",0.09,0.9775,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality_1","Negative_Emotionality",0.43,0.8925,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality_2","Negative_Emotionality",0.02,0.995,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality_3","Negative_Emotionality",0.02,0.995,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality_4","Negative_Emotionality",0.13,0.9675,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality_5","Negative_Emotionality",0.06,0.985,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality_6","Negative_Emotionality",0.5,0.875,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality_7","Negative_Emotionality",0.02,0.995,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality_8","Negative_Emotionality",0.32,0.92,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality_9","Negative_Emotionality",0.05,0.9875,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality_10","Negative_Emotionality",0.12,0.97,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
