"item","domain","wasserstein","alignment","comparison"
"Extraversion_1","Extraversion",0.254,0.9365,"llm_src_vs_human_src"
"Extraversion_2","Extraversion",0.29,0.9275,"llm_src_vs_human_src"
"Extraversion_3","Extraversion",0.184,0.954,"llm_src_vs_human_src"
"Extraversion_4","Extraversion",0.27,0.9325,"llm_src_vs_human_src"
"Extraversion_5","Extraversion",0.252,0.937,"llm_src_vs_human_src"
"Extraversion_6","Extraversion",0.204,0.949,"llm_src_vs_human_src"
"Extraversion_7","Extraversion",0.23,0.9425,"llm_src_vs_human_src"
"Extraversion_8","Extraversion",0.204,0.949,"llm_src_vs_human_src"
"Extraversion_9","Extraversion",0.292,0.927,"llm_src_vs_human_src"
"Extraversion_10","Extraversion",0.23,0.9425,"llm_src_vs_human_src"
"Extraversion_11","Extraversion",0.236,0.941,"llm_src_vs_human_src"
"Extraversion_12","Extraversion",0.308,0.923,"llm_src_vs_human_src"
"Agreeableness_1","Agreeableness",0.182,0.9545,"llm_src_vs_human_src"
"Agreeableness_2","Agreeableness",0.228,0.943,"llm_src_vs_human_src"
"Agreeableness_3","Agreeableness",0.104,0.974,"llm_src_vs_human_src"
"Agreeableness_4","Agreeableness",0.182,0.9545,"llm_src_vs_human_src"
"Agreeableness_5","Agreeableness",0.182,0.9545,"llm_src_vs_human_src"
"Agreeableness_6","Agreeableness",0.2,0.95,"llm_src_vs_human_src"
"Agreeableness_7","Agreeableness",0.222,0.9445,"llm_src_vs_human_src"
"Agreeableness_8","Agreeableness",0.218,0.9455,"llm_src_vs_human_src"
"Agreeableness_9","Agreeableness",0.216,0.946,"llm_src_vs_human_src"
"Agreeableness_10","Agreeableness",0.172,0.957,"llm_src_vs_human_src"
"Agreeableness_11","Agreeableness",0.142,0.9645,"llm_src_vs_human_src"
"Agreeableness_12","Agreeableness",0.2,0.95,"llm_src_vs_human_src"
"Conscientiousness_1","Conscientiousness",0.188,0.953,"llm_src_vs_human_src"
"Conscientiousness_2","Conscientiousness",0.138,0.9655,"llm_src_vs_human_src"
"Conscientiousness_3","Conscientiousness",0.176,0.956,"llm_src_vs_human_src"
"Conscientiousness_4","Conscientiousness",0.22,0.945,"llm_src_vs_human_src"
"Conscientiousness_5","Conscientiousness",0.1,0.975,"llm_src_vs_human_src"
"Conscientiousness_6","Conscientiousness",0.114,0.9715,"llm_src_vs_human_src"
"Conscientiousness_7","Conscientiousness",0.148,0.963,"llm_src_vs_human_src"
"Conscientiousness_8","Conscientiousness",0.174,0.9565,"llm_src_vs_human_src"
"Conscientiousness_9","Conscientiousness",0.162,0.9595,"llm_src_vs_human_src"
"Conscientiousness_10","Conscientiousness",0.134,0.9665,"llm_src_vs_human_src"
"Conscientiousness_11","Conscientiousness",0.18,0.955,"llm_src_vs_human_src"
"Conscientiousness_12","Conscientiousness",0.168,0.958,"llm_src_vs_human_src"
"Neuroticism_1","Neuroticism",0.248,0.938,"llm_src_vs_human_src"
"Neuroticism_2","Neuroticism",0.3,0.925,"llm_src_vs_human_src"
"Neuroticism_3","Neuroticism",0.312,0.922,"llm_src_vs_human_src"
"Neuroticism_4","Neuroticism",0.17,0.9575,"llm_src_vs_human_src"
"Neuroticism_5","Neuroticism",0.162,0.9595,"llm_src_vs_human_src"
"Neuroticism_6","Neuroticism",0.234,0.9415,"llm_src_vs_human_src"
"Neuroticism_7","Neuroticism",0.15,0.9625,"llm_src_vs_human_src"
"Neuroticism_8","Neuroticism",0.244,0.939,"llm_src_vs_human_src"
"Neuroticism_9","Neuroticism",0.218,0.9455,"llm_src_vs_human_src"
"Neuroticism_10","Neuroticism",0.224,0.944,"llm_src_vs_human_src"
"Neuroticism_11","Neuroticism",0.208,0.948,"llm_src_vs_human_src"
"Neuroticism_12","Neuroticism",0.236,0.941,"llm_src_vs_human_src"
"Openness_1","Openness",0.21,0.9475,"llm_src_vs_human_src"
"Openness_2","Openness",0.246,0.9385,"llm_src_vs_human_src"
"Openness_3","Openness",0.386,0.9035,"llm_src_vs_human_src"
"Openness_4","Openness",0.294,0.9265,"llm_src_vs_human_src"
"Openness_5","Openness",0.332,0.917,"llm_src_vs_human_src"
"Openness_6","Openness",0.276,0.931,"llm_src_vs_human_src"
"Openness_7","Openness",0.232,0.942,"llm_src_vs_human_src"
"Openness_8","Openness",0.28,0.93,"llm_src_vs_human_src"
"Openness_9","Openness",0.314,0.9215,"llm_src_vs_human_src"
"Openness_10","Openness",0.316,0.921,"llm_src_vs_human_src"
"Openness_11","Openness",0.276,0.931,"llm_src_vs_human_src"
"Openness_12","Openness",0.316,0.921,"llm_src_vs_human_src"
